State,Year,Quarter,Transaction_Count,Transaction_Amount,User_Count,Avg_Transaction_Value,Transactions_Per_User
Delhi,2020,3,96491861,175163962804.6606,9044174.0,1815.3237069876868,10.668952300121603
Delhi,2020,4,120540417,216265088224.54352,9747968.0,1794.1292523033458,12.365696830354798
Delhi,2021,1,157359004,266928345043.4926,10467210.0,1696.3016939500494,15.03351934278571
Delhi,2021,2,170157264,281941097684.5414,11182699.0,1656.944235331272,15.21611768321762
Delhi,2021,3,238760608,383858316548.2811,11980061.0,1607.7120918886299,19.929832410703085
Delhi,2021,4,292683359,488695314062.3912,12785127.0,1669.7065242523445,22.892487419170727
Delhi,2022,1,330999861,536964920836.28876,13539197.0,1622.2511973691999,24.447525285288336
Delhi,2022,2,410634184,629855650458.2169,,1533.8607329832455,
Delhi,2022,3,475592161,677612647116.1163,,1424.7767366294256,
Delhi,2022,4,515203457,744915016018.5759,,1445.8657175092983,
Delhi,2023,1,409753103,611403109580.0,,1492.1256363981702,
Delhi,2023,2,482138998,661728515657.0,,1372.4849439725263,
Delhi,2023,3,546706983,708199251438.0,,1295.3909012682211,
Delhi,2023,4,598150746,799649719349.0,,1336.8698855539,
Delhi,2024,1,650734058,832514031113.0,,1279.3460260427923,
Delhi,2024,2,777540400,896917676180.0,,1153.5319273185032,
Delhi,2024,3,844844523,958203383588.0,,1134.1771858631082,
Delhi,2024,4,910543082,1057060485903.0,,1160.912104873913,
Goa,2018,1,160897,303856742.34308386,91936.0,1888.5171404257621,1.7500978941872607
Goa,2018,2,229575,478603825.3586151,122174.0,2084.73843126915,1.8790822924681192
Goa,2018,3,339511,713166969.238234,153802.0,2100.5710249100443,2.2074550395963644
Goa,2018,4,514755,1153005078.922405,195350.0,2239.9104018851785,2.6350396723829026
Goa,2019,1,738812,1475323397.2765768,238152.0,1996.8860782940405,3.102270818636837
Goa,2019,2,768441,1591867103.3876162,278940.0,2071.5540989973415,2.754861260486126
Goa,2019,3,1092416,2000367191.4968417,317194.0,1831.1405101141338,3.4439995712403135
Goa,2019,4,1515272,2923460348.499468,353546.0,1929.330409655473,4.285926018113626
Goa,2020,1,1881237,3410371231.923763,391900.0,1812.8344445297232,4.800298545547333
Goa,2020,2,1482092,2183616430.016772,430639.0,1473.3339293490362,3.4416111870963846
Goa,2020,3,1915531,3368343580.94466,474962.0,1758.4385640037463,4.033019483663956
Goa,2020,4,3801381,6899792747.579934,527584.0,1815.075296998626,7.2052621004427735
Goa,2021,1,5331549,9757242879.021425,570035.0,1830.0953210823768,9.353020428570176
Goa,2021,2,4710135,8012853587.076006,609106.0,1701.1940394651122,7.7328658722783885
Goa,2021,3,6467763,10478425592.936369,653458.0,1620.1004262117162,9.897748592870544
Goa,2021,4,11088759,18627257115.869656,697178.0,1679.8324425546318,15.905204983519273
Goa,2022,1,12214098,19816445402.84611,738628.0,1622.423972924248,16.536196840628843
Goa,2022,2,14216054,22873037759.5202,,1608.9582776992968,
Goa,2022,3,13188687,19574265275.70633,,1484.1708864351947,
Goa,2022,4,17192674,24924986371.33915,,1449.744604669358,
Goa,2023,1,24195070,35096965775.0,,1450.583353344297,
Goa,2023,2,26530590,38412206943.0,,1447.8459371992858,
Goa,2023,3,26999728,37375179974.0,,1384.2798703009157,
Goa,2023,4,33460978,44287671557.0,,1323.56177864855,
Goa,2024,1,35013987,45351900260.0,,1295.25095956653,
Goa,2024,2,37000806,47454830712.0,,1282.5350537499103,
Goa,2024,3,36762111,45913528012.0,,1248.9361128363928,
Goa,2024,4,46131536,56562589543.0,,1226.1154612974517,
Gujarat,2018,1,5948775,7577982255.034049,2690048.0,1273.8727309461274,2.211401060501523
Gujarat,2018,2,7745733,12162684771.641035,3565825.0,1570.2432257400346,2.1722134428918976
Gujarat,2018,3,11334149,17866404426.275486,4433183.0,1576.3339996920356,2.556661658226155
Gujarat,2018,4,14733303,24830987102.7826,5579040.0,1685.3645854417439,2.6408312182741116
Gujarat,2019,1,24991451,35856080308.476944,6652536.0,1434.7338339209255,3.7566803095841945
Gujarat,2019,2,28981842,49320615219.26746,7574645.0,1701.776416394357,3.8261650545999184
Gujarat,2019,3,38228649,59462694964.2678,8429299.0,1555.4485057598504,4.535210935096738
Gujarat,2019,4,42547632,76690662054.91406,9323799.0,1802.4660468745726,4.56333646832155
Gujarat,2020,1,47326417,86995076621.90312,10259843.0,1838.192750190726,4.612781794029402
